facility_code,service_category,service_group,service_detail
3733,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3733,Public Health Services,Public Health Services,Public Health Services
2737,Maternity,Maternity,Maternity
2737,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2737,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2737,Public Health Services,Public Health Services,Public Health Services
2766,Public Health Services,Public Health Services,Public Health Services
2766,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2766,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2766,Maternity,Maternity,Maternity
2092,Dental,Dental,Dental
2092,Laboratory Services,Laboratory Services,Laboratory Services
2092,Public Health Services,Public Health Services,Public Health Services
2092,ART & VMMC,ART & VMMC,ART & VMMC
2092,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2092,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2092,Maternity,Maternity,Maternity
2515,Public Health Services,Public Health Services,Public Health Services
2515,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2515,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2515,Maternity,Maternity,Maternity
3582,Maternity,Maternity,Maternity
3582,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3582,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3582,Public Health Services,Public Health Services,Public Health Services
4258,Public Health Services,Public Health Services,Public Health Services
4258,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
4258,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
4258,Maternity,Maternity,Maternity
4258,Dental,Dental,Dental
4258,Laboratory Services,Laboratory Services,Laboratory Services
4258,ART & VMMC,ART & VMMC,ART & VMMC
4092,Public Health Services,Public Health Services,Public Health Services
4092,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
4092,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
4092,Maternity,Maternity,Maternity
3633,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3633,Public Health Services,Public Health Services,Public Health Services
3633,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3633,Maternity,Maternity,Maternity
2466,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2466,Public Health Services,Public Health Services,Public Health Services
2466,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2466,Maternity,Maternity,Maternity
2202,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2202,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2202,Maternity,Maternity,Maternity
2202,Dental,Dental,Dental
2202,Laboratory Services,Laboratory Services,Laboratory Services
2202,Public Health Services,Public Health Services,Public Health Services
2202,ART & VMMC,ART & VMMC,ART & VMMC
3634,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3634,Public Health Services,Public Health Services,Public Health Services
3634,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3634,Maternity,Maternity,Maternity
4032,Maternity,Maternity,Maternity
4032,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
4032,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
4032,Public Health Services,Public Health Services,Public Health Services
1378,Maternity,Maternity,Maternity
1378,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1378,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1378,Public Health Services,Public Health Services,Public Health Services
3750,Public Health Services,Public Health Services,Public Health Services
3750,ART & VMMC,ART & VMMC,ART & VMMC
3750,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3750,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3750,Maternity,Maternity,Maternity
2186,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2186,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2186,Public Health Services,Public Health Services,Public Health Services
2186,Maternity,Maternity,Maternity
2975,Public Health Services,Public Health Services,Public Health Services
2975,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2975,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2975,Maternity,Maternity,Maternity
2975,Dental,Dental,Dental
2975,Laboratory Services,Laboratory Services,Laboratory Services
2975,ART & VMMC,ART & VMMC,ART & VMMC
1256,Public Health Services,Public Health Services,Public Health Services
1256,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1256,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1256,Maternity,Maternity,Maternity
1256,Dental,Dental,Dental
1256,Laboratory Services,Laboratory Services,Laboratory Services
1256,ART & VMMC,ART & VMMC,ART & VMMC
1957,ART & VMMC,ART & VMMC,ART & VMMC
1957,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1957,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1957,Maternity,Maternity,Maternity
1957,Dental,Dental,Dental
1957,Laboratory Services,Laboratory Services,Laboratory Services
1957,Public Health Services,Public Health Services,Public Health Services
2520,Public Health Services,Public Health Services,Public Health Services
2520,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2750,Maternity,Maternity,Maternity
2750,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
